parameter	qrates
q23	 1.88568228
q24	 1.67702760
q26	 0.00000000
q2A	 0.00000000
q2B	 2.54550596
q2C	 0.00000000
q2D	 0.00000000
q2E	 0.00000000
q2F	 1.51743247
q2H	 0.00000000
q2I	 0.00000000
q2J	 6.28349145
q2L	 0.00000000
q2N	 1.69795546
q2P	 0.00000000
q2R	 2.83007515
q2T	 0.00000000
q2V	 2.31066447
q2X	 0.00000000
q32	 2.24386354
q34	 0.00000000
q36	 2.30019710
q3A	 0.00000000
q3B	 0.00000000
q3C	 0.00000000
q3D	 2.54550596
q3E	 0.00000000
q3F	 0.00000000
q3H	 1.51743247
q3I	 0.00000000
q3J	 0.00000000
q3L	 6.28349145
q3N	 0.00000000
q3P	 1.69795546
q3R	 0.00000000
q3T	 2.83007515
q3V	 0.00000000
q3X	 2.31066447
q42	 3.56139157
q43	 0.00000000
q46	 0.00000000
q4A	 0.00000000
q4B	 4.23755222
q4C	 0.00000000
q4D	 0.00000000
q4E	 0.00000000
q4F	 2.26860894
q4H	 0.00000000
q4I	 0.00000000
q4J	 4.34022985
q4L	 0.00000000
q4N	 3.02411284
q4P	 0.00000000
q4R	 6.12381139
q4T	 0.00000000
q4V	 6.66165652
q4X	 0.00000000
q62	 0.00000000
q63	 3.27932712
q64	 0.00000000
q6A	 0.00000000
q6B	 0.00000000
q6C	 0.00000000
q6D	 8.49487561
q6E	 0.00000000
q6F	 0.00000000
q6H	12.22193058
q6I	 0.00000000
q6J	 0.00000000
q6L	11.53474120
q6N	 0.00000000
q6P	 2.88534182
q6R	 0.00000000
q6T	 1.43227723
q6V	 0.00000000
q6X	 0.80157599
qA2	 0.00000000
qA3	 0.00000000
qA4	 0.00000000
qA6	 0.00000000
qAB	13.41555460
qAC	 1.88568228
qAD	 0.00000000
qAE	 0.15693658
qAF	 0.00000000
qAH	 0.00000000
qAI	 0.19779840
qAJ	 0.00000000
qAL	 0.00000000
qAN	 0.00000000
qAP	 0.00000000
qAR	 0.00000000
qAT	 0.00000000
qAV	 0.00000000
qAX	 0.00000000
qB2	 0.08492224
qB3	 0.00000000
qB4	 0.05717754
qB6	 0.00000000
qBA	 0.17445072
qBC	 0.00000000
qBD	 1.88568228
qBE	 0.00000000
qBF	 0.15693658
qBH	 0.00000000
qBI	 0.00000000
qBJ	 0.19779840
qBL	 0.00000000
qBN	 0.15149506
qBP	 0.00000000
qBR	 0.15684340
qBT	 0.00000000
qBV	 0.08323427
qBX	 0.00000000
qC2	 0.00000000
qC3	 0.00000000
qC4	 0.00000000
qC6	 0.00000000
qCA	 2.24386354
qCB	 0.00000000
qCD	13.41555460
qCE	 0.00000000
qCF	 0.00000000
qCH	 0.00000000
qCI	 0.00000000
qCJ	 0.00000000
qCL	 0.00000000
qCN	 0.00000000
qCP	 0.00000000
qCR	 0.00000000
qCT	 0.00000000
qCV	 0.00000000
qCX	 0.00000000
qD2	 0.00000000
qD3	 0.08492224
qD4	 0.00000000
qD6	 1.22129221
qDA	 0.00000000
qDB	 2.24386354
qDC	 0.17445072
qDE	 0.00000000
qDF	 0.00000000
qDH	 0.15693658
qDI	 0.00000000
qDJ	 0.00000000
qDL	 0.19779840
qDN	 0.00000000
qDP	 0.15149506
qDR	 0.00000000
qDT	 0.15684340
qDV	 0.00000000
qDX	 0.08323427
qE2	 0.00000000
qE3	 0.00000000
qE4	 0.00000000
qE6	 0.00000000
qEA	 2.09718376
qEB	 0.00000000
qEC	 0.00000000
qED	 0.00000000
qEF	13.41555460
qEH	 0.00000000
qEI	 1.98562464
qEJ	 0.00000000
qEL	 0.00000000
qEN	 0.00000000
qEP	 0.00000000
qER	 0.00000000
qET	 0.00000000
qEV	 0.00000000
qEX	 0.00000000
qF2	 0.19065101
qF3	 0.00000000
qF4	 0.87552403
qF6	 0.00000000
qFA	 0.00000000
qFB	 2.09718376
qFC	 0.00000000
qFD	 0.00000000
qFE	 0.17445072
qFH	 1.88568228
qFI	 0.00000000
qFJ	 1.98562464
qFL	 0.00000000
qFN	 0.27836897
qFP	 0.00000000
qFR	 0.18062830
qFT	 0.00000000
qFV	 0.12683064
qFX	 0.00000000
qH2	 0.00000000
qH3	 0.19065101
qH4	 0.00000000
qH6	 0.25837561
qHA	 0.00000000
qHB	 0.00000000
qHC	 0.00000000
qHD	 2.09718376
qHE	 0.00000000
qHF	 2.24386354
qHI	 0.00000000
qHJ	 0.00000000
qHL	 1.98562464
qHN	 0.00000000
qHP	 0.27836897
qHR	 0.00000000
qHT	 0.18062830
qHV	 0.00000000
qHX	 0.12683064
qI2	 0.00000000
qI3	 0.00000000
qI4	 0.00000000
qI6	 0.00000000
qIA	13.64431242
qIB	 0.00000000
qIC	 0.00000000
qID	 0.00000000
qIE	 0.45958573
qIF	 0.00000000
qIH	 0.00000000
qIJ	13.41555460
qIL	 0.00000000
qIN	 0.00000000
qIP	 0.00000000
qIR	 0.00000000
qIT	 0.00000000
qIV	 0.00000000
qIX	 0.00000000
qJ2	 0.26685980
qJ3	 0.00000000
qJ4	 0.37657074
qJ6	 0.00000000
qJA	 0.00000000
qJB	13.64431242
qJC	 0.00000000
qJD	 0.00000000
qJE	 0.00000000
qJF	 0.45958573
qJH	 0.00000000
qJI	 0.17445072
qJL	 1.88568228
qJN	 0.22996457
qJP	 0.00000000
qJR	 0.18801365
qJT	 0.00000000
qJV	 0.12939504
qJX	 0.00000000
qL2	 0.00000000
qL3	 0.26685980
qL4	 0.00000000
qL6	 0.31770116
qLA	 0.00000000
qLB	 0.00000000
qLC	 0.00000000
qLD	13.64431242
qLE	 0.00000000
qLF	 0.00000000
qLH	 0.45958573
qLI	 0.00000000
qLJ	 2.24386354
qLN	 0.00000000
qLP	 0.22996457
qLR	 0.00000000
qLT	 0.18801365
qLV	 0.00000000
qLX	 0.12939504
qN2	 3.43432864
qN3	 0.00000000
qN4	 2.51864183
qN6	 0.00000000
qNA	 0.00000000
qNB	 5.48576488
qNC	 0.00000000
qND	 0.00000000
qNE	 0.00000000
qNF	 3.15898776
qNH	 0.00000000
qNI	 0.00000000
qNJ	 7.66669475
qNL	 0.00000000
qNP	 1.88568228
qNR	 4.25143623
qNT	 0.00000000
qNV	 3.32661074
qNX	 0.00000000
qP2	 0.00000000
qP3	 3.43432864
qP4	 0.00000000
qP6	 2.80273385
qPA	 0.00000000
qPB	 0.00000000
qPC	 0.00000000
qPD	 5.48576488
qPE	 0.00000000
qPF	 0.00000000
qPH	 3.15898776
qPI	 0.00000000
qPJ	 0.00000000
qPL	 7.66669475
qPN	 2.24386354
qPR	 0.00000000
qPT	 4.25143623
qPV	 0.00000000
qPX	 3.32661074
qR2	 0.38310534
qR3	 0.00000000
qR4	 0.34023739
qR6	 0.00000000
qRA	 0.00000000
qRB	13.65890429
qRC	 0.00000000
qRD	 0.00000000
qRE	 0.00000000
qRF	 0.29149593
qRH	 0.00000000
qRI	 0.00000000
qRJ	 0.46312406
qRL	 0.00000000
qRN	 0.32984433
qRP	 0.00000000
qRT	 1.88568228
qRV	 0.38693334
qRX	 0.00000000
qT2	 0.00000000
qT3	 0.38310534
qT4	 0.00000000
qT6	 3.84966076
qTA	 0.00000000
qTB	 0.00000000
qTC	 0.00000000
qTD	13.65890429
qTE	 0.00000000
qTF	 0.00000000
qTH	 0.29149593
qTI	 0.00000000
qTJ	 0.00000000
qTL	 0.46312406
qTN	 0.00000000
qTP	 0.32984433
qTR	 2.24386354
qTV	 0.00000000
qTX	 0.38693334
qV2	 1.00818178
qV3	 0.00000000
qV4	 0.30892530
qV6	 0.00000000
qVA	 0.00000000
qVB	 0.36776719
qVC	 0.00000000
qVD	 0.00000000
qVE	 0.00000000
qVF	 0.13553002
qVH	 0.00000000
qVI	 0.00000000
qVJ	 0.25254931
qVL	 0.00000000
qVN	 0.27038524
qVP	 0.00000000
qVR	 1.59409507
qVT	 0.00000000
qVX	 1.88568228
qX2	 0.00000000
qX3	 1.00818178
qX4	 0.00000000
qX6	 1.77503941
qXA	 0.00000000
qXB	 0.00000000
qXC	 0.00000000
qXD	 0.36776719
qXE	 0.00000000
qXF	 0.00000000
qXH	 0.13553002
qXI	 0.00000000
qXJ	 0.00000000
qXL	 0.25254931
qXN	 0.00000000
qXP	 0.27038524
qXR	 0.00000000
qXT	 1.59409507
qXV	 2.24386354
